,cod_cliente,cod_endereco,cod_contato,data_primeira_compra,data_criacao,data_alteracao
464,bde42cc1,b07a72a1,8a9c5316,1988-05-28,2026-07-15,2026-07-15
465,bed1ac6c,8502a500,1125badb,1977-06-23,2026-07-15,2026-07-15
468,e52f5ed8,e616c108,6cc6efe9,1986-08-24,2026-07-15,2026-07-15
469,2df8b6f4,6cb91705,603a9b9b,1983-11-12,2026-07-15,2026-07-15
470,df28e3f0,f813f1b2,7d815689,1974-06-25,2026-07-15,2026-07-15
471,c475f6fc,300c3018,568a164b,1962-09-24,2026-07-15,2026-07-15
472,7b748fb3,7eca4a51,603a9b9b,1961-02-28,2026-07-15,2026-07-15
475,4ba49536,42de26f1,c5cd3850,1982-04-19,2026-07-15,2026-07-15
476,7704f92c,5db71ebf,fc1567ca,1972-02-25,2026-07-15,2026-07-15
477,f7817da3,5256f238,69068f18,1965-05-28,2026-07-15,2026-07-15
478,ccde9baa,05a7e314,3dea0bd0,1983-09-14,2026-07-15,2026-07-15
479,2d45f6bd,49f22c9d,1125badb,2002-01-19,2026-07-15,2026-07-15
481,68f3c4e5,f63bfbf1,3eb26a8b,1972-03-06,2026-07-15,2026-07-15
482,719fa89e,09342ecc,3eb26a8b,1972-11-02,2026-07-15,2026-07-15
483,df92d410,db794f13,69068f18,1996-12-26,2026-07-15,2026-07-15
484,718406a2,3137dc0d,c5cd3850,1967-10-08,2026-07-15,2026-07-15
487,41087c74,5256f238,568a164b,2002-09-26,2026-07-15,2026-07-15
488,c4cdb41c,835b284a,fa917638,1993-08-23,2026-07-15,2026-07-15
489,35acd685,5b3c2df7,df41bbaf,1994-10-15,2026-07-15,2026-07-15
492,f27a730c,f919f6ea,fa917638,1997-03-06,2026-07-15,2026-07-15
493,315f550b,f8ee8bce,3eb26a8b,1997-01-18,2026-07-15,2026-07-15
494,5482a297,e616c108,b69221de,1963-02-06,2026-07-15,2026-07-15
495,3f09714a,cdfae907,bba5daa3,1995-07-25,2026-07-15,2026-07-15
497,ae0deda5,e616c108,568a164b,1998-03-12,2026-07-15,2026-07-15
